"","CC","Year","CG","SenR","SenD","SenThird","CongR","CongD","CongThird","GovR","GovD","GovThird","SenR_Poll","SenD_Poll","GovR_Poll","GovD_Poll","CC..17","Year..18","CG..19","RLeanFromStateMean","DLeanFromStateMean","PRESyear","SENyear","GOVyear","Total.population","MalePop","FemalePop","Age5Under","Age5to9","Age10to14","Age15to19","Age20To24","Age25to34","Age35to44","Age45to54","Age55to59","Age60to64","Age65to74","Age75to84","Age85Plus","MedianAge","Adults18Plus","Adults21Plus","Adults62Plus","Adults65Plus","Adults18Male","Adults18Female","Adults65Male","Adults65Female","PopTwoOrMore","PopWhite","PopBlack","PopIndianNative","Cherokee","Chippewa","Navajo","Sioux","PopAsian","PopAsianIndian","PopChinese","PopFilipino","PopJapanese","PopKorean","PopVietnamese","PopOtherAsian","PopHawaiian","GuamOrChamarro","Samoan","OtherPacIslander","SomeOtherRace","RaceTwoOrMore","WhiteAndBlack","WhiteAndNative","WhiteAndAsian","WhiteAndAlaska","LoneRaceAndTwoOrMore","NotHispOrLatino","TotHousingUnits","NumVotes","Last.Max.Votes","Two.Max.Votes"
"11",2,2016,5,0,0,0,8654,14603,37,0,0,0,NA,NA,NA,NA,2,2016,5,-0.08625,0.137083333333333,1,0,0,322828,161107,161721,20462,21544,22991,20928,19181,43788,43275,50183,23144,18564,23857,10598,4313,451.9,244095,232913,49503,38768,120757,123338,17238,21530,10265,273309,18216,2093,253,1074,25,116,14011,3367,1331,503,211,737,2622,5240,107,15,12,34,4827,10265,3659,2192,2407,79,322828,309192,122979,14603,322828,244095
"12",2,2016,6,0,0,0,75100,44486,171,0,0,0,NA,NA,NA,NA,2,2016,6,0.137407407407407,-0.0807407407407407,1,0,0,322828,161107,161721,20462,21544,22991,20928,19181,43788,43275,50183,23144,18564,23857,10598,4313,451.9,244095,232913,49503,38768,120757,123338,17238,21530,10265,273309,18216,2093,253,1074,25,116,14011,3367,1331,503,211,737,2622,5240,107,15,12,34,4827,10265,3659,2192,2407,79,322828,309192,122979,75100,322828,244095
"13",3,2012,7,5651,8407,754,4960,9429,658,0,0,0,1318.5,2736,NA,NA,3,2012,7,-0.0686666666666667,0.064,1,1,0,33552,16838,16714,2219,2347,2298,2051,1603,3541,3710,4981,2431,2521,3198,1726,926,530,25341,24279,7312,5850,12714,12627,2708,3142,1309,28982,126,2836,10,2461,0,53,149,13,13,10,0,36,30,47,4,0,0,1,146,1309,82,967,58,15,33552,33071,19958,9429,33552,25341
"14",3,2014,7,5941,5396,686,5392,6581,13,6539,4738,388,1920,2400,1934.4,2270.4,3,2014,7,0.0427083333333333,0.01625,0,1,1,33884,17023,16861,2123,2350,2368,2087,1711,3570,3606,4724,2552,2597,3454,1770,972,540.9,25632,24631,7731,6196,12867,12765,2916,3280,1226,29062,155,3155,8,2695,0,100,147,10,12,14,2,22,46,41,7,2,0,1,132,1226,109,864,80,11,33884,33342,20110,6581,33884,25632
"15",3,2016,7,0,0,0,8097,8743,13,0,0,0,NA,NA,NA,NA,3,2016,7,0.0402083333333333,0.0210416666666667,1,0,0,34122,17063,17059,2136,2423,2301,2088,1783,3546,3596,4440,2571,2633,3812,1888,905,NA,25857,24873,8224,6605,12932,12925,3128,3477,1227,29205,167,3183,10,2799,0,86,166,0,58,16,1,32,29,30,25,3,16,4,149,1227,137,897,72,16,34122,33492,20246,8743,34122,25857
"16",4,2012,7,3786,9074,686,3648,9193,616,0,0,0,1054.8,2188.8,NA,NA,4,2012,7,-0.128055555555556,0.114722222222222,1,1,0,45404,22691,22713,3327,2930,3176,3881,4467,5459,4694,6064,2917,2551,3251,1954,733,521.4,34046,31089,7286,5938,16789,17257,2718,3220,1576,34781,367,8015,33,6258,0,225,362,13,26,44,23,100,2,154,180,0,0,145,123,1576,99,1070,115,171,45404,44695,20580,9193,45404,34046
"17",4,2012,8,2924,4530,310,3906,3846,14,0,0,0,761.8,1580.8,NA,NA,4,2012,8,0.0580769230769231,-0.0461538461538462,1,1,0,45404,22691,22713,3327,2930,3176,3881,4467,5459,4694,6064,2917,2551,3251,1954,733,521.4,34046,31089,7286,5938,16789,17257,2718,3220,1576,34781,367,8015,33,6258,0,225,362,13,26,44,23,100,2,154,180,0,0,145,123,1576,99,1070,115,171,45404,44695,20580,3906,45404,34046
"18",4,2014,7,3375,5177,468,3333,5579,12,3426,4881,293,1360,1700,1370.2,1608.2,4,2014,7,-0.0482352941176471,0.110882352941176,0,1,1,45800,22965,22835,3365,2975,3122,3843,4673,5493,4701,5707,2826,2802,3476,1910,907,525.3,34418,31226,7858,6293,17016,17402,2926,3367,1470,34846,403,8490,30,6683,0,273,408,2,60,28,15,47,21,235,40,0,0,5,143,1470,198,1059,73,73,45800,44969,20806,5579,45800,34418
"19",4,2014,8,2150,2044,180,2257,1901,2,2164,1952,119,1000,1250,1007.5,1182.5,4,2014,8,0.12,-0.0584,0,1,1,45800,22965,22835,3365,2975,3122,3843,4673,5493,4701,5707,2826,2802,3476,1910,907,525.3,34418,31226,7858,6293,17016,17402,2926,3367,1470,34846,403,8490,30,6683,0,273,408,2,60,28,15,47,21,235,40,0,0,5,143,1470,198,1059,73,73,45800,44969,20806,2257,45800,34418
"20",4,2016,7,0,0,0,4682,7034,18,0,0,0,NA,NA,NA,NA,4,2016,7,-0.0562857142857143,0.118,1,0,0,45948,22930,23018,3395,3201,2905,3765,4679,5548,4816,5241,2927,2780,3782,2038,871,513.5,34606,31752,8237,6691,17130,17476,3127,3564,1405,34617,431,8891,44,7139,0,240,453,5,85,27,0,45,29,262,32,0,0,4,119,1405,251,988,79,56,45948,45057,20809,7034,45948,34606
